filename	scene_label	identifier	source_label
audio/airport-barcelona-0-0-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-1-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-2-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-3-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-4-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-5-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-6-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-7-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-8-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-9-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-10-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-11-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-12-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-13-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-14-a.wav	airport	barcelona-0	a
audio/airport-barcelona-0-15-a.wav	airport	barcelona-0	a
audio/airport-barcelona-1-16-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-17-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-18-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-19-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-20-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-21-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-22-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-23-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-24-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-25-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-26-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-27-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-28-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-29-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-30-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-31-a.wav	airport	barcelona-1	a
audio/airport-barcelona-1-32-a.wav	airport	barcelona-1	a
